task,run,n,accuracy,accuracy_ci_low,accuracy_ci_high,f1_macro
sentiment,ml,153,0.7843,0.7126,0.8421,0.5243
sentiment,glm_generic_run0,153,0.8627,0.7993,0.9084,0.6661
sentiment,glm_generic_run1,153,0.8693,0.8067,0.9138,0.7004
sentiment,glm_generic_run2,153,0.8627,0.7993,0.9084,0.6689
sentiment,glm_generic_run3,153,0.8627,0.7993,0.9084,0.6662
sentiment,glm_production,153,0.8301,0.7626,0.8813,0.684
sentiment,mistral_production,153,0.8431,0.7772,0.8923,0.6441
risk,ml,106,0.6792,0.5855,0.7605,0.6534
risk,glm_generic_run0,106,0.717,0.6248,0.794,0.6814
risk,glm_generic_run1,106,0.6509,0.5564,0.735,0.5953
risk,glm_generic_run2,106,0.6604,0.566,0.7435,0.602
risk,glm_generic_run3,106,0.6604,0.566,0.7435,0.607
risk,glm_production,106,0.5,0.4065,0.5935,0.4059
risk,mistral_production,106,0.5943,0.4992,0.6829,0.5293
