task,pair,n_pairs,n_same_label,agreement,agreement_ci_low,agreement_ci_high
sentiment,ml_vs_glm_generic_run0,153,121,0.7908,0.7197,0.8478
sentiment,ml_vs_glm_generic_run1,153,121,0.7908,0.7197,0.8478
sentiment,ml_vs_glm_generic_run2,153,122,0.7974,0.7268,0.8534
sentiment,ml_vs_glm_generic_run3,153,122,0.7974,0.7268,0.8534
sentiment,ml_vs_glm_production,153,112,0.732,0.6568,0.7959
sentiment,ml_vs_mistral_production,153,117,0.7647,0.6915,0.8249
sentiment,glm_generic_run0_vs_glm_generic_run1,153,149,0.9739,0.9347,0.9898
sentiment,glm_generic_run0_vs_glm_generic_run2,153,152,0.9935,0.9639,0.9988
sentiment,glm_generic_run0_vs_glm_generic_run3,153,150,0.9804,0.9439,0.9933
sentiment,glm_generic_run0_vs_glm_production,153,138,0.902,0.8445,0.9397
sentiment,glm_generic_run0_vs_mistral_production,153,141,0.9216,0.8679,0.9546
sentiment,glm_generic_run1_vs_glm_generic_run2,153,150,0.9804,0.9439,0.9933
sentiment,glm_generic_run1_vs_glm_generic_run3,153,152,0.9935,0.9639,0.9988
sentiment,glm_generic_run1_vs_glm_production,153,138,0.902,0.8445,0.9397
sentiment,glm_generic_run1_vs_mistral_production,153,141,0.9216,0.8679,0.9546
sentiment,glm_generic_run2_vs_glm_generic_run3,153,151,0.9869,0.9536,0.9964
sentiment,glm_generic_run2_vs_glm_production,153,137,0.8954,0.8369,0.9346
sentiment,glm_generic_run2_vs_mistral_production,153,142,0.9281,0.8759,0.9594
sentiment,glm_generic_run3_vs_glm_production,153,137,0.8954,0.8369,0.9346
sentiment,glm_generic_run3_vs_mistral_production,153,142,0.9281,0.8759,0.9594
sentiment,glm_production_vs_mistral_production,153,142,0.9281,0.8759,0.9594
risk,ml_vs_glm_generic_run0,106,60,0.566,0.471,0.6564
risk,ml_vs_glm_generic_run1,106,52,0.4906,0.3974,0.5844
risk,ml_vs_glm_generic_run2,106,53,0.5,0.4065,0.5935
risk,ml_vs_glm_generic_run3,106,53,0.5,0.4065,0.5935
risk,ml_vs_glm_production,106,42,0.3962,0.3083,0.4914
risk,ml_vs_mistral_production,106,53,0.5,0.4065,0.5935
risk,glm_generic_run0_vs_glm_generic_run1,106,92,0.8679,0.7904,0.9197
risk,glm_generic_run0_vs_glm_generic_run2,106,91,0.8585,0.7796,0.9123
risk,glm_generic_run0_vs_glm_generic_run3,106,91,0.8585,0.7796,0.9123
risk,glm_generic_run0_vs_glm_production,106,70,0.6604,0.566,0.7435
risk,glm_generic_run0_vs_mistral_production,106,74,0.6981,0.6051,0.7773
risk,glm_generic_run1_vs_glm_generic_run2,106,99,0.934,0.8699,0.9676
risk,glm_generic_run1_vs_glm_generic_run3,106,99,0.934,0.8699,0.9676
risk,glm_generic_run1_vs_glm_production,106,79,0.7453,0.6548,0.8186
risk,glm_generic_run1_vs_mistral_production,106,76,0.717,0.6248,0.794
risk,glm_generic_run2_vs_glm_generic_run3,106,100,0.9434,0.882,0.9738
risk,glm_generic_run2_vs_glm_production,106,82,0.7736,0.6852,0.8429
risk,glm_generic_run2_vs_mistral_production,106,75,0.7075,0.6149,0.7857
risk,glm_generic_run3_vs_glm_production,106,82,0.7736,0.6852,0.8429
risk,glm_generic_run3_vs_mistral_production,106,74,0.6981,0.6051,0.7773
risk,glm_production_vs_mistral_production,106,78,0.7358,0.6447,0.8105
