task,pair,n_pairs,acc_first,acc_second,b_first_only_correct,c_second_only_correct,p_exact_two_sided,p_minority_gains_one,p_majority_loses_one,p_one_pair_swaps
sentiment,ml_vs_glm_generic_run0,153,0.7843,0.8627,7,19,0.028959,0.052239,0.043285,0.075519
sentiment,ml_vs_glm_generic_run1,153,0.7843,0.8693,7,20,0.019157,0.035698,0.028959,0.052239
sentiment,ml_vs_glm_generic_run2,153,0.7843,0.8627,7,19,0.028959,0.052239,0.043285,0.075519
sentiment,ml_vs_glm_generic_run3,153,0.7843,0.8627,7,19,0.028959,0.052239,0.043285,0.075519
sentiment,ml_vs_glm_production,153,0.7843,0.8301,12,19,0.281042,0.377086,0.361595,0.47313
sentiment,ml_vs_mistral_production,153,0.7843,0.8431,9,18,0.122078,0.184933,0.168638,0.247789
sentiment,glm_generic_run0_vs_glm_generic_run1,153,0.8627,0.8693,1,2,1.0,1.0,1.0,1.0
sentiment,glm_generic_run0_vs_glm_generic_run2,153,0.8627,0.8627,0,0,1.0,1.0,1.0,1.0
sentiment,glm_generic_run0_vs_glm_generic_run3,153,0.8627,0.8627,1,1,1.0,1.0,1.0,1.0
sentiment,glm_generic_run0_vs_glm_production,153,0.8627,0.8301,8,3,0.226562,0.387695,0.34375,0.548828
sentiment,glm_generic_run0_vs_mistral_production,153,0.8627,0.8431,5,2,0.453125,0.726562,0.6875,1.0
sentiment,glm_generic_run1_vs_glm_generic_run2,153,0.8693,0.8627,2,1,1.0,1.0,1.0,1.0
sentiment,glm_generic_run1_vs_glm_generic_run3,153,0.8693,0.8627,1,0,1.0,1.0,1.0,1.0
sentiment,glm_generic_run1_vs_glm_production,153,0.8693,0.8301,8,2,0.109375,0.226562,0.179688,0.34375
sentiment,glm_generic_run1_vs_mistral_production,153,0.8693,0.8431,6,2,0.289062,0.507812,0.453125,0.726562
sentiment,glm_generic_run2_vs_glm_generic_run3,153,0.8627,0.8627,1,1,1.0,1.0,1.0,1.0
sentiment,glm_generic_run2_vs_glm_production,153,0.8627,0.8301,8,3,0.226562,0.387695,0.34375,0.548828
sentiment,glm_generic_run2_vs_mistral_production,153,0.8627,0.8431,5,2,0.453125,0.726562,0.6875,1.0
sentiment,glm_generic_run3_vs_glm_production,153,0.8627,0.8301,8,3,0.226562,0.387695,0.34375,0.548828
sentiment,glm_generic_run3_vs_mistral_production,153,0.8627,0.8431,5,2,0.453125,0.726562,0.6875,1.0
sentiment,glm_production_vs_mistral_production,153,0.8301,0.8431,3,5,0.726562,1.0,1.0,1.0
risk,ml_vs_glm_generic_run0,106,0.6792,0.717,19,23,0.643969,0.760792,0.755229,0.877614
risk,ml_vs_glm_generic_run1,106,0.6792,0.6509,25,22,0.770867,0.885433,0.882996,1.0
risk,ml_vs_glm_generic_run2,106,0.6792,0.6604,24,22,0.882996,1.0,1.0,1.0
risk,ml_vs_glm_generic_run3,106,0.6792,0.6604,24,22,0.882996,1.0,1.0,1.0
risk,ml_vs_glm_production,106,0.6792,0.5,36,17,0.01266,0.019834,0.017533,0.027008
risk,ml_vs_mistral_production,106,0.6792,0.5943,27,18,0.232693,0.301996,0.291215,0.371298
risk,glm_generic_run0_vs_glm_generic_run1,106,0.717,0.6509,10,3,0.092285,0.179565,0.145996,0.266846
risk,glm_generic_run0_vs_glm_generic_run2,106,0.717,0.6604,9,3,0.145996,0.266846,0.226562,0.387695
risk,glm_generic_run0_vs_glm_generic_run3,106,0.717,0.6604,10,4,0.179565,0.301758,0.266846,0.42395
risk,glm_generic_run0_vs_glm_production,106,0.717,0.5,26,3,1.5e-05,5.9e-05,2.7e-05,0.000104
risk,glm_generic_run0_vs_mistral_production,106,0.717,0.5943,18,5,0.010622,0.022656,0.016901,0.03469
risk,glm_generic_run1_vs_glm_generic_run2,106,0.6509,0.6604,2,3,1.0,1.0,1.0,1.0
risk,glm_generic_run1_vs_glm_generic_run3,106,0.6509,0.6604,3,4,1.0,1.0,1.0,1.0
risk,glm_generic_run1_vs_glm_production,106,0.6509,0.5,19,3,0.000855,0.002599,0.00149,0.004344
risk,glm_generic_run1_vs_mistral_production,106,0.6509,0.5943,14,8,0.286279,0.404873,0.38331,0.523467
risk,glm_generic_run2_vs_glm_generic_run3,106,0.6604,0.6604,2,2,1.0,1.0,1.0,1.0
risk,glm_generic_run2_vs_glm_production,106,0.6604,0.5,18,1,7.6e-05,0.000402,0.000145,0.000729
risk,glm_generic_run2_vs_mistral_production,106,0.6604,0.5943,16,9,0.229523,0.32694,0.307456,0.424356
risk,glm_generic_run3_vs_glm_production,106,0.6604,0.5,18,1,7.6e-05,0.000402,0.000145,0.000729
risk,glm_generic_run3_vs_mistral_production,106,0.6604,0.5943,16,9,0.229523,0.32694,0.307456,0.424356
risk,glm_production_vs_mistral_production,106,0.5,0.5943,6,16,0.052479,0.09314,0.078354,0.133801
