label,precision,recall,f1,support
access,0.5,1.0,0.6667,1
account_management,0.6,0.75,0.6667,4
application,0.8,0.1481,0.25,27
card_and_cash,0.5,0.25,0.3333,4
company_experience,0.5,1.0,0.6667,2
consideration,1.0,0.6667,0.8,9
consumption,0.0,0.0,0.0,1
delivery,0.8056,0.8056,0.8056,36
deposit_and_withdrawal,0.6667,0.5,0.5714,4
durability,0.3333,1.0,0.5,1
fulfilment,0.0,0.0,0.0,3
funding,0.0,0.0,0.0,1
investing,1.0,0.5556,0.7143,9
onboarding,0.0,0.0,0.0,5
payment,0.5,1.0,0.6667,3
portfolio_transfer,1.0,1.0,1.0,2
post_purchase,0.7,0.7,0.7,10
purchase,0.6,0.2727,0.375,11
registration,0.3333,0.5,0.4,2
reporting,0.5,1.0,0.6667,1
savings,0.6667,1.0,0.8,2
support,0.7037,0.8636,0.7755,22
sustainability,0.0,0.0,0.0,1
tax_and_reporting,1.0,1.0,1.0,2
trading,0.4286,0.75,0.5455,4
usage,0.3,0.6923,0.4186,13
use_case,0.1667,0.5,0.25,2
