label,precision,recall,f1,support
accessibility,0.5,1.0,0.6667,1
banking_operations,0.5,0.3333,0.4,3
banking_product,0.1429,0.3333,0.2,3
card_operations,0.0,0.0,0.0,2
card_product,0.0,0.0,0.0,1
checkout_product,0.0,0.0,0.0,1
compliance_operations,0.0,0.0,0.0,2
customer_operations,0.7727,0.6071,0.68,28
cx_insights,0.0,0.0,0.0,20
cx_policy,0.0,0.0,0.0,6
cx_product,0.2,0.5,0.2857,4
delivery_operations,0.5862,0.8947,0.7083,19
formulation,0.0556,1.0,0.1053,1
formulation_instructions,1.0,1.0,1.0,1
fraud_and_payments,0.3333,1.0,0.5,1
growth_product,1.0,1.0,1.0,1
identity_operations,0.5,1.0,0.6667,1
investment_product,0.5455,0.8571,0.6667,7
market_data_operations,1.0,1.0,1.0,1
marketplace_operations,0.0,0.0,0.0,2
marketplace_policy,0.0,0.0,0.0,1
marketplace_product,0.75,0.6,0.6667,5
mobile_engineering,0.25,1.0,0.4,1
mobile_product,0.0,0.0,0.0,6
ordering_product,0.1667,0.5,0.25,2
packaging_design,0.6667,1.0,0.8,2
packaging_formulation,0.0,0.0,0.0,1
packaging_logistics,0.0,0.0,0.0,1
packaging_pricing,0.5,0.5,0.5,2
packaging_sustainability,0.0,0.0,0.0,2
payments_operations,0.0,0.0,0.0,4
payments_product,0.3333,0.25,0.2857,4
platform_reliability,0.5,0.5,0.5,2
pricing,0.0,0.0,0.0,2
pricing_product,0.5,1.0,0.6667,2
privacy_marketing,1.0,1.0,1.0,1
product_education,0.0,0.0,0.0,2
product_marketing,0.0,0.0,0.0,4
product_quality,0.3333,0.2143,0.2609,14
retailer_quality,0.0,0.0,0.0,2
savings_product,0.25,1.0,0.4,1
securities_operations,0.5,0.25,0.3333,4
security,0.0,0.0,0.0,1
security_and_compliance,0.0,0.0,0.0,1
security_and_cx,0.0,0.0,0.0,1
tax_operations,1.0,1.0,1.0,2
technical_content,0.0,0.0,0.0,2
tracking_product,0.3333,1.0,0.5,1
trust_and_cx,0.0,0.0,0.0,1
trust_and_safety,0.0,0.0,0.0,1
voc_strategy,1.0,0.5,0.6667,2
