task,pair,n_pairs,n_same_label,agreement,agreement_ci_low,agreement_ci_high
sentiment,ml_vs_mistral_run0,153,117,0.7647,0.6915,0.8249
sentiment,ml_vs_mistral_run1,153,117,0.7647,0.6915,0.8249
sentiment,ml_vs_mistral_run2,153,117,0.7647,0.6915,0.8249
sentiment,ml_vs_mistral_run3,153,117,0.7647,0.6915,0.8249
sentiment,mistral_run0_vs_mistral_run1,153,153,1.0,0.9755,1.0
sentiment,mistral_run0_vs_mistral_run2,153,152,0.9935,0.9639,0.9988
sentiment,mistral_run0_vs_mistral_run3,153,153,1.0,0.9755,1.0
sentiment,mistral_run1_vs_mistral_run2,153,152,0.9935,0.9639,0.9988
sentiment,mistral_run1_vs_mistral_run3,153,153,1.0,0.9755,1.0
sentiment,mistral_run2_vs_mistral_run3,153,152,0.9935,0.9639,0.9988
risk,ml_vs_mistral_run0,106,53,0.5,0.4065,0.5935
risk,ml_vs_mistral_run1,106,53,0.5,0.4065,0.5935
risk,ml_vs_mistral_run2,106,54,0.5094,0.4156,0.6026
risk,ml_vs_mistral_run3,106,53,0.5,0.4065,0.5935
risk,mistral_run0_vs_mistral_run1,106,106,1.0,0.965,1.0
risk,mistral_run0_vs_mistral_run2,106,104,0.9811,0.9338,0.9948
risk,mistral_run0_vs_mistral_run3,106,105,0.9906,0.9485,0.9983
risk,mistral_run1_vs_mistral_run2,106,104,0.9811,0.9338,0.9948
risk,mistral_run1_vs_mistral_run3,106,105,0.9906,0.9485,0.9983
risk,mistral_run2_vs_mistral_run3,106,103,0.9717,0.9201,0.9903
