task,pair,n_pairs,acc_first,acc_second,b_first_only_correct,c_second_only_correct,p_exact_two_sided,p_minority_gains_one,p_majority_loses_one,p_one_pair_swaps
sentiment,ml_vs_mistral_run0,153,0.7843,0.8431,9,18,0.122078,0.184933,0.168638,0.247789
sentiment,ml_vs_mistral_run1,153,0.7843,0.8431,9,18,0.122078,0.184933,0.168638,0.247789
sentiment,ml_vs_mistral_run2,153,0.7843,0.8497,9,19,0.087159,0.136046,0.122078,0.184933
sentiment,ml_vs_mistral_run3,153,0.7843,0.8431,9,18,0.122078,0.184933,0.168638,0.247789
sentiment,mistral_run0_vs_mistral_run1,153,0.8431,0.8431,0,0,1.0,1.0,1.0,1.0
sentiment,mistral_run0_vs_mistral_run2,153,0.8431,0.8497,0,1,1.0,1.0,1.0,1.0
sentiment,mistral_run0_vs_mistral_run3,153,0.8431,0.8431,0,0,1.0,1.0,1.0,1.0
sentiment,mistral_run1_vs_mistral_run2,153,0.8431,0.8497,0,1,1.0,1.0,1.0,1.0
sentiment,mistral_run1_vs_mistral_run3,153,0.8431,0.8431,0,0,1.0,1.0,1.0,1.0
sentiment,mistral_run2_vs_mistral_run3,153,0.8497,0.8431,1,0,1.0,1.0,1.0,1.0
risk,ml_vs_mistral_run0,106,0.6792,0.5943,27,18,0.232693,0.301996,0.291215,0.371298
risk,ml_vs_mistral_run1,106,0.6792,0.5943,27,18,0.232693,0.301996,0.291215,0.371298
risk,ml_vs_mistral_run2,106,0.6792,0.6038,27,19,0.301996,0.381693,0.371298,0.461391
risk,ml_vs_mistral_run3,106,0.6792,0.5849,27,17,0.174171,0.232693,0.222053,0.291215
risk,mistral_run0_vs_mistral_run1,106,0.5943,0.5943,0,0,1.0,1.0,1.0,1.0
risk,mistral_run0_vs_mistral_run2,106,0.5943,0.6038,0,1,1.0,1.0,1.0,1.0
risk,mistral_run0_vs_mistral_run3,106,0.5943,0.5849,1,0,1.0,1.0,1.0,1.0
risk,mistral_run1_vs_mistral_run2,106,0.5943,0.6038,0,1,1.0,1.0,1.0,1.0
risk,mistral_run1_vs_mistral_run3,106,0.5943,0.5849,1,0,1.0,1.0,1.0,1.0
risk,mistral_run2_vs_mistral_run3,106,0.6038,0.5849,2,0,0.5,1.0,1.0,1.0
